County,Web Site,Notifications,User Fees
Butler,¯\_(ツ)_/¯,KFVS12 Severe Weather Alerts ,None/Standard Messaging Data Rates
Butler,¯\_(ツ)_/¯,Daily Dunklin Democrat Severe Weather Alerts,None
Butler,¯\_(ツ)_/¯,Emergency Email Severe Weather Alerts ,None
Caldwell,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",None 
Caldwell,¯\_(ツ)_/¯,KCTV Severe Weather Text Alerts,None
Caldwell,¯\_(ツ)_/¯,Kansas City Star Severe Weather Alerts,None
Callaway,¯\_(ツ)_/¯,Jefferson City Newstribune Severe Weather Alerts,$10/year (phone) and $5/year (email) 
Callaway,¯\_(ツ)_/¯,Weather Call by Media Weather Innovations Severe Weather Alerts,$9.95/year per land line and $11.95/year per smart phone
Callaway,¯\_(ツ)_/¯,KOMUSevere Weather Warnings,None
Callaway,¯\_(ツ)_/¯,ZTXT Severe Weather Alerts ,None
Callaway,¯\_(ツ)_/¯,Fulton Sun Severe Weather Alerts,$10/year (phone) and $5/year (email) 
Callaway,¯\_(ツ)_/¯,KMIZ Severe Weather Alerts,None
Callaway,¯\_(ツ)_/¯,KMIZ Severe Weather Alerts,None/Standard Messaging Data Rates
Camden,¯\_(ツ)_/¯,Weather Call by Media Weather Innovations Severe Weather Alerts,$9.95/year per land line and $11.95/year per smart phone
Camden,¯\_(ツ)_/¯,KOMU Severe Weather Warnings,None
Camden,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Camden,¯\_(ツ)_/¯,The Lake Today Severe Weather Alerts,$10/year (phone) and $5/year (email) 
Camden,¯\_(ツ)_/¯,ZTXT Severe Weather Alerts ,None
Camden,¯\_(ツ)_/¯,KMIZ Severe Weather Alerts,None/Standard Messaging Data Rates
Cape Girardeau,¯\_(ツ)_/¯,Southeast Missourian Severe Weather Alerts ,None
Cape Girardeau,¯\_(ツ)_/¯,Daily Dunklin Democrat Severe Weather Alerts,None
Cape Girardeau,¯\_(ツ)_/¯,Sikeston Standard Democrat Severe Weather Alerts,None
Cape Girardeau,¯\_(ツ)_/¯,KFVS12 Severe Weather Alerts ,None/Standard Messaging Data Rates
Macon,¯\_(ツ)_/¯,WGEM Severe Weather Alerts ,None
Carroll,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",None 
Carroll,¯\_(ツ)_/¯,KCTV Severe Weather Text Alerts,None
Carter,¯\_(ツ)_/¯,KFVS12 Severe Weather Alerts ,None/Standard Messaging Data Rates
Cass ,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",None 
Cass ,¯\_(ツ)_/¯,Code Red Severe Weather Alerts,None
Cass ,¯\_(ツ)_/¯,Kansas City Star Severe Weather Alerts,None
Cass ,¯\_(ツ)_/¯,KMBZ Severe Weather Alerts,None
Cass ,¯\_(ツ)_/¯,KCTV Severe Weather Text Alerts,None
Cedar,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Cedar,¯\_(ツ)_/¯,KTTS Severe Weather Warnings Apps,None
Cedar,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Chariton,¯\_(ツ)_/¯,KMIZ Severe Weather Alerts,None/Standard Messaging Data Rates
Chariton,¯\_(ツ)_/¯,KOMU Severe Weather Warnings,None
Christian,¯\_(ツ)_/¯,Christian County Severe Weather Alerts,none
Christian,¯\_(ツ)_/¯,Branson Severe Weather Alerts,
Christian,¯\_(ツ)_/¯,Springfield News Leader Weather Alerts,None
Christian,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Christian,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Clark,¯\_(ツ)_/¯,WGEM Severe Weather Alerts ,None
Clay,¯\_(ツ)_/¯,KMBZ Severe Weather Alerts,None
Clay,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",None
Clay,¯\_(ツ)_/¯,St. Joseph News Press Severe Weather Emails,None
Clay,¯\_(ツ)_/¯,KCTV Severe Weather Text Alerts,None
Clay,¯\_(ツ)_/¯,KMBZ Severe Weather Alerts,None
Clay,¯\_(ツ)_/¯,Kansas City Star Severe Weather Alerts,None
Clinton ,¯\_(ツ)_/¯,St. Joseph News Press Severe Weather Alerts,None
Clinton ,¯\_(ツ)_/¯,KCTV Severe Weather Text Alerts,None
Clinton ,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",None 
Clinton ,¯\_(ツ)_/¯,Clinton County Severe Weather Warning Calls,None 
Clinton ,¯\_(ツ)_/¯,Kansas City Star Severe Weather Alerts,None
Cole,¯\_(ツ)_/¯,Weather Call by Media Weather Innovations Severe Weather Alerts,$9.95/year per land line and $11.95/year per smart phone
Cole,¯\_(ツ)_/¯,KOMU Severe Weather Warnings,None
Cole,¯\_(ツ)_/¯,Jefferson City Newstribune Severe Weather Alerts,$10/year (phone) and $5/year (email) 
Cole,¯\_(ツ)_/¯,ZTXT Severe Weather Alerts ,None
Cole,¯\_(ツ)_/¯,Cole County Sheriff Alert ,None
Cole,¯\_(ツ)_/¯,KMIZ Severe Weather Alerts,None/Standard Messaging Data Rates
Cooper,¯\_(ツ)_/¯,KMIZ Severe Weather Alerts,None/Standard Messaging Data Rates
Cooper,¯\_(ツ)_/¯,Jefferson City Newstribune Severe Weather Alerts,$10/year (phone) and $5/year (email) 
Cooper,¯\_(ツ)_/¯,KOMU Severe Weather Warnings,None
Cooper,¯\_(ツ)_/¯,ZTXT Severe Weather Alerts ,None
Cooper,¯\_(ツ)_/¯,Weather Call by Media Weather Innovations Severe Weather Alerts,$9.95/year per land line and $11.95/year per smart phone
Crawford,¯\_(ツ)_/¯,KSDK Automated Severe Weather Alerts or Local Weather forecast,None 
Crawford,¯\_(ツ)_/¯,KOMU Severe Weather Warnings,None
Dade,¯\_(ツ)_/¯,KTTS Severe Weather Warnings Apps,None
Dade,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Dade,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Dallas,¯\_(ツ)_/¯,Severe Weather Warnings app for Iphone and Andriod,None
Dallas,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Dallas,¯\_(ツ)_/¯,Springfield News Leader Weather Alerts,None
Dallas,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Daviess,¯\_(ツ)_/¯,KCTV Severe Weather Text Alerts,None
DeKalb,¯\_(ツ)_/¯,Kansas City Star Severe Weather Alerts,None
DeKalb,¯\_(ツ)_/¯,St. Joseph News Press Severe Weather Alerts,None
DeKalb,¯\_(ツ)_/¯,KCTV Severe Weather Text Alerts,None
DeKalb,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",None 
Dent,¯\_(ツ)_/¯,KY3  Severe Weather Warnings,None
Dent,¯\_(ツ)_/¯,KSDK Automated Severe Weather Alerts or Local Weather forecast,None 
Dent,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Douglas,¯\_(ツ)_/¯,Severe Weather Warnings app for Iphone and Andriod,None
Douglas,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Douglas,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Dunklin ,¯\_(ツ)_/¯,KFVS12 Severe Weather Alerts ,None/Standard Messaging Data Rates
Dunklin ,¯\_(ツ)_/¯,State Gazette Severe Weather Alerts ,None
Dunklin ,¯\_(ツ)_/¯,Daily Dunklin Democrat Severe Weather Alerts,None
Franklin,¯\_(ツ)_/¯,Textcaster Severe Weather Alerts ,None
Franklin,¯\_(ツ)_/¯,KSDK Automated Severe Weather Alerts or Local Weather forecast,None 
Franklin,¯\_(ツ)_/¯,Code Red Severe Weather Alerts,None
Franklin,¯\_(ツ)_/¯,Code Red Severe Weather Alerts,
Franklin,¯\_(ツ)_/¯,Code Red Severe Weather Alerts,
Gasconade,¯\_(ツ)_/¯,Weather Call by Media Weather Innovations Severe Weather Alerts,$9.95/year per land line and $11.95/year per smart phone
Gasconade,¯\_(ツ)_/¯,KOMU Severe Weather Warnings,None
Gasconade,¯\_(ツ)_/¯,KMIZ Severe Weather Alerts,None/Standard Messaging Data Rates
Gasconade,¯\_(ツ)_/¯,Textcaster Severe Weather Alerts ,None
Gasconade,¯\_(ツ)_/¯,KSDK Automated Severe Weather Alerts or Local Weather forecast,None 
Gentry,¯\_(ツ)_/¯,KCTV Severe Weather Text Alerts,None
Gentry,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",None 
Gentry,¯\_(ツ)_/¯,KMBC Severe Weather Alerts,None
Gentry,¯\_(ツ)_/¯,Kansas City Star Severe Weather Alerts,None
Greene,¯\_(ツ)_/¯,KTTS Severe Weather Warnings Apps,None
Greene,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Grundy,¯\_(ツ)_/¯,KMBC Severe Weather Alerts,None
Grundy,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",None 
Grundy,¯\_(ツ)_/¯,KCTV Severe Weather Text Alerts,None
Harrison,¯\_(ツ)_/¯,KCTV Severe Weather Text Alerts,None
Harrison,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",None 
Hickory,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Hickory,¯\_(ツ)_/¯,KTTS Severe Weather Warnings Apps,None
Hickory,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Holt,¯\_(ツ)_/¯,St. Joseph News Press Severe Weather Alerts,None
Holt,¯\_(ツ)_/¯,Emergency Email Severe Weather Alerts,None 
Holt,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",None 
Holt,¯\_(ツ)_/¯,Kansas City Star Severe Weather Alerts,None
Holt,¯\_(ツ)_/¯,KCTV Severe Weather Text Alerts,None
Howard,¯\_(ツ)_/¯,Weather Call by Media Weather Innovations Severe Weather Alerts,$9.95/year per land line and $11.95/year per smart phone
Howard,¯\_(ツ)_/¯,KOMU Severe Weather Warnings,None
Howard,¯\_(ツ)_/¯,ZTXT Severe Weather Alerts ,None
Howard,¯\_(ツ)_/¯,Jefferson City Newstribune Severe Weather Alerts,$10/year (phone) and $5/year (email) 
Howard,¯\_(ツ)_/¯,KMIZ Severe Weather Alerts,None/Standard Messaging Data Rates
Howell,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Howell,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Iron,¯\_(ツ)_/¯,KSDK Automated Severe Weather Alerts or Local Weather forecast,None 
Iron,¯\_(ツ)_/¯,KFVS12 Severe Weather Alerts ,None/Standard Messaging Data Rates
Jackson,¯\_(ツ)_/¯,Kansas City Star Severe Weather Alerts,None
Jackson,¯\_(ツ)_/¯,KMBZ Severe Weather Alerts,None
Jackson,¯\_(ツ)_/¯,KCTV Severe Weather Text Alerts,None
Jackson,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",None 
Jackson,¯\_(ツ)_/¯,Code Red Severe Weather Warnings,None
Jasper,¯\_(ツ)_/¯,KTTS Severe Weather Warnings Apps,None
Jasper,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Jasper,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Jefferson ,¯\_(ツ)_/¯,Code Red Severe Weather Alerts,None
Jefferson ,¯\_(ツ)_/¯,Code Red Severe Weather Alerts,
Jefferson ,¯\_(ツ)_/¯,KSDK Automated Severe Weather Alerts or Local Weather forecast,None 
Jefferson ,¯\_(ツ)_/¯,Code Red Severe Weather Alerts,None
Jefferson ,¯\_(ツ)_/¯,Code Red Severe Weather Alerts,
Johnson,¯\_(ツ)_/¯,KCTV Severe Weather Text Alerts,None
Johnson,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",None 
Johnson,¯\_(ツ)_/¯,Kansas City Star Severe Weather Alerts,None
Johnson,¯\_(ツ)_/¯,KMBZ Severe Weather Alerts,None
Knox,¯\_(ツ)_/¯,WGEM Severe Weather Alerts ,None
Laclede,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Laclede,¯\_(ツ)_/¯,KTTS Severe Weather Warnings Apps,None
Laclede,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Lafayette,¯\_(ツ)_/¯,City of Odessa Weather Alerts,None
Lafayette,¯\_(ツ)_/¯,Kansas City Star Severe Weather Alerts,None
Lafayette,¯\_(ツ)_/¯,KMBZ Severe Weather Alerts,None
Lafayette,¯\_(ツ)_/¯,KCTV Severe Weather Text Alerts,None
Lafayette,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",None 
Lawrence,¯\_(ツ)_/¯,Branson Severe Weather Alerts,
Lawrence,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Lawrence,¯\_(ツ)_/¯,Immediate Response Information System (IRIS) ,$8/year
Lewis,¯\_(ツ)_/¯,WGEM Severe Weather Alerts ,None
Lincoln,¯\_(ツ)_/¯,KSDK Automated Severe Weather Alerts or Local Weather forecast,None 
Lincoln,¯\_(ツ)_/¯,Emergency Email Severe Weather Alerts ,None
Lincoln,¯\_(ツ)_/¯,Textcaster Severe Weather Alerts ,None
Linn,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",None 
Linn,¯\_(ツ)_/¯,KMIZ Severe Weather Alerts,None/Standard Messaging Data Rates
Livingston,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",None 
Livingston,¯\_(ツ)_/¯,Livingston County Severe Weather Alerts,No/Cell Provider
Livingston,¯\_(ツ)_/¯,KCTV Severe Weather Text Alerts,None
Macon,¯\_(ツ)_/¯,KOMU Severe Weather Warnings,None
Madison,¯\_(ツ)_/¯,KFVS12 Severe Weather Alerts ,None/Standard Messaging Data Rates
Maries,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Maries,¯\_(ツ)_/¯,Weather Call by Media Weather Innovations Severe Weather Alerts,$9.95/year per land line and $11.95/year per smart phone
Maries,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Maries,¯\_(ツ)_/¯,KOMU Severe Weather Warnings,None
Maries,¯\_(ツ)_/¯,KMIZ Severe Weather Alerts,None/Standard Messaging Data Rates
Marion,¯\_(ツ)_/¯,WGEM Severe Weather Alerts ,None
McDonald,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
McDonald,¯\_(ツ)_/¯,McDonald County 911 ,$2/year per household
McDonald,¯\_(ツ)_/¯,Immediate Response Information System (IRIS) for all emergency personnel,
McDonald,¯\_(ツ)_/¯,KTTS Severe Weather Warnings Apps,None
McDonald,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Mercer,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",None 
Mercer,¯\_(ツ)_/¯,KCTV Severe Weather Text Alerts,None
Miller,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Miller,¯\_(ツ)_/¯,The Lake Today Severe Weather Alerts,$10/year (phone) and $5/year (email) 
Miller,¯\_(ツ)_/¯,Weather Call by Media Weather Innovations Severe Weather Alerts,$9.95/year per land line and $11.95/year per smart phone
Miller,¯\_(ツ)_/¯,KOMU Severe Weather Warnings,None
Miller,¯\_(ツ)_/¯,ZTXT Severe Weather Alerts ,None
Miller,¯\_(ツ)_/¯,KMIZ Severe Weather Alerts,None/Standard Messaging Data Rates
Miller,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Mississippi,¯\_(ツ)_/¯,Sikeston Standard Democrat Severe Weather Alerts,None
Mississippi,¯\_(ツ)_/¯,KFVS12 Severe Weather Alerts ,None/Standard Messaging Data Rates
Moniteau,¯\_(ツ)_/¯,Jefferson City Newstribune Severe Weather Alerts,$10/year (phone) and $5/year (email) 
Moniteau,¯\_(ツ)_/¯,Weather Call by Media Weather Innovations Severe Weather Alerts,$9.95/year per land line and $11.95/year per smart phone
Moniteau,¯\_(ツ)_/¯,KOMU Severe Weather Warnings,None
Moniteau,¯\_(ツ)_/¯,ZTXT Severe Weather Alerts ,None
Moniteau,¯\_(ツ)_/¯,KMIZ Severe Weather Alerts,None/Standard Messaging Data Rates
Moniteau,¯\_(ツ)_/¯,California Democrat Severe Weather Alerts,$10/year (phone) and $5/year (email) 
Monroe,¯\_(ツ)_/¯,WGEM Severe Weather Alerts ,None
Monroe,¯\_(ツ)_/¯,Emergency Email Severe Weather Alerts,None
Montgomery,¯\_(ツ)_/¯,KMIZ Severe Weather Alerts,None/Standard Messaging Data Rates
St. Louis,¯\_(ツ)_/¯,Twitter Severe Weather Warnings,None
Montgomery,¯\_(ツ)_/¯,Weather Call by Media Weather Innovations Severe Weather Alerts,$9.95/year per land line and $11.95/year per smart phone
Montgomery,¯\_(ツ)_/¯,KOMU Severe Weather Warnings,None
Morgan,¯\_(ツ)_/¯,Morgan County Severe Weather Alerts,None
Morgan,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Morgan,¯\_(ツ)_/¯,Weather Call by Media Weather Innovations Severe Weather Alerts,$9.95/year per land line and $11.95/year per smart phone
Morgan,¯\_(ツ)_/¯,KOMU Severe Weather Warnings,None
Morgan,¯\_(ツ)_/¯,KMIZ Severe Weather Alerts,None/Standard Messaging Data Rates
Morgan,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
New Madrid,¯\_(ツ)_/¯,KFVS12 Severe Weather Alerts ,None/Standard Messaging Data Rates
New Madrid,¯\_(ツ)_/¯,Daily Dunklin Democrat Severe Weather Alerts,None
New Madrid,¯\_(ツ)_/¯,Sikeston Standard Democrat Severe Weather Alerts,None
Newton,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Newton,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Nodaway,¯\_(ツ)_/¯,St. Joseph News Press Severe Weather Alerts,None
Nodaway,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",None 
Nodaway,¯\_(ツ)_/¯,KCTV Severe Weather Text Alerts,None
Nodaway,¯\_(ツ)_/¯,Kansas City Star Severe Weather Alerts,None
Oregon,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Osage,¯\_(ツ)_/¯,Osage County Emergency Notification System,None
Osage,¯\_(ツ)_/¯,Jefferson City Newstribune Severe Weather Alerts,$10/year (phone) and $5/year (email) 
Osage,¯\_(ツ)_/¯,Weather Call by Media Weather Innovations Severe Weather Alerts,$9.95/year per land line and $11.95/year per smart phone
Osage,¯\_(ツ)_/¯,KOMU Severe Weather Warnings,None
Osage,¯\_(ツ)_/¯,ZTXT Severe Weather Alerts ,None
Osage,¯\_(ツ)_/¯,KMIZ Severe Weather Alerts,None/Standard Messaging Data Rates
Ozark,¯\_(ツ)_/¯,Springfield News Leader Weather Alerts,None
Ozark,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Ozark,¯\_(ツ)_/¯,KTTS Severe Weather Warnings Apps,None
Pemiscot,¯\_(ツ)_/¯,KFVS12 Severe Weather Alerts ,None/Standard Messaging Data Rates
Pemiscot,¯\_(ツ)_/¯,Daily Dunklin Democrat Severe Weather Alerts,None
Pemiscot,¯\_(ツ)_/¯,State Gazette Severe Weather Alerts ,None
Perry,¯\_(ツ)_/¯,KFVS12 Severe Weather Alerts ,None/Standard Messaging Data Rates
Pettis,¯\_(ツ)_/¯,KOMU Severe Weather Warnings,None
Pettis,¯\_(ツ)_/¯,KCTV Severe Weather Text Alerts,None
Wright,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Pettis,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",None 
Pettis,¯\_(ツ)_/¯,Pettis County's Sheriff Office Severe Weather Warnings,None
Pettis,¯\_(ツ)_/¯,KMIZ Severe Weather Alerts,None/Standard Messaging Data Rates
Pettis,¯\_(ツ)_/¯,Kansas City Star Severe Weather Alerts,None
Pettis,¯\_(ツ)_/¯,Weather Call by Media Weather Innovations Severe Weather Alerts,$9.95/year per land line and $11.95/year per smart phone
Phelps,¯\_(ツ)_/¯,KSDK Automated Severe Weather Alerts,None 
Phelps,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Phelps,¯\_(ツ)_/¯,Weather Call by Media Weather Innovations Severe Weather Alerts,$9.95/year per land line and $11.95/year per smart phone
Phelps,¯\_(ツ)_/¯,KOMU Severe Weather Warnings,None
Phelps,¯\_(ツ)_/¯,KMIZ Severe Weather Alerts,None/Standard Messaging Data Rates
Phelps,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Pike,¯\_(ツ)_/¯,KSDK Automated Severe Weather Alerts or Local Weather forecast,None 
Pike,¯\_(ツ)_/¯,Textcaster Severe Weather Alerts ,None
Pike,¯\_(ツ)_/¯,WGEM Severe Weather Alerts ,None
Platte,¯\_(ツ)_/¯,St. Joseph News Press Severe Weather Alerts,None
Platte,¯\_(ツ)_/¯,KCTV Severe Weather Text Alerts,None
Platte,¯\_(ツ)_/¯,KMBZ Severe Weather Alerts,None
Platte,¯\_(ツ)_/¯,Kansas City Star Severe Weather Alerts,None
Platte,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",None 
Polk,¯\_(ツ)_/¯,KTTS Severe Weather Warnings Apps,None
Polk,¯\_(ツ)_/¯,Springfield News Leader Weather Alerts,None
Polk,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Polk,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Pulaski,¯\_(ツ)_/¯,KMIZ Severe Weather Alerts,None/Standard Messaging Data Rates
Pulaski,¯\_(ツ)_/¯,KOMU Severe Weather Warnings,None
Pulaski,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Pulaski,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Putnam ,¯\_(ツ)_/¯,Emergency Email Severe Weather Alerts,None
Ralls,¯\_(ツ)_/¯,WGEM Severe Weather Alerts ,None
Ralls,¯\_(ツ)_/¯,Textcaster Severe Weather Alerts ,None
Randolph,¯\_(ツ)_/¯,KOMU Severe Weather Warnings,None
Randolph,¯\_(ツ)_/¯,KMIZ Severe Weather Alerts,None/Standard Messaging Data Rates
Randolph,¯\_(ツ)_/¯,Code Red Severe Weather Alerts,None
Ray,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",None 
Ray,¯\_(ツ)_/¯,KCTV Weather Text Alerts,None
Ray,¯\_(ツ)_/¯,KMBZ Severe Weather Alerts,None
Ray,¯\_(ツ)_/¯,Kansas City Star Severe Weather Alerts,None
Reynolds,¯\_(ツ)_/¯,KSDK Automated Severe Weather Alerts or Local Weather forecast,None 
Reynolds,¯\_(ツ)_/¯,KFVS12 Severe Weather Alerts ,None/Standard Messaging Data Rates
Ripley,¯\_(ツ)_/¯,KFVS12 Severe Weather Alerts ,None/Standard Messaging Data Rates
Saline,¯\_(ツ)_/¯,Kansas City Star Severe Weather Alerts,None
Saline,¯\_(ツ)_/¯,KOMU Severe Weather Warnings,None
Saline,¯\_(ツ)_/¯,The Marshal Democrat News Weather Alerts ,None
Saline,¯\_(ツ)_/¯,KCTV Severe Weather Text Alerts,None
Saline,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",None 
Saline,¯\_(ツ)_/¯,KMIZ Severe Weather Alerts,None/Standard Messaging Data Rates
Schuylar,¯\_(ツ)_/¯,WGEMSevere Weather Alerts ,None
Scott,¯\_(ツ)_/¯,Daily Dunklin Democrat Severe Weather Alerts,None
Scott,¯\_(ツ)_/¯,KFVS12 Severe Weather Alerts ,None/Standard Messaging Data Rates
Scott,¯\_(ツ)_/¯,Southeast Missourian Severe Weather Alerts ,None
