title;url;comment;satisfaction;received;category;column_7;column_8;column_9;column_10;column_11;column_12;column_13;column_14;column_15;column_16;column_17;column_18;column_19;column_20;column_21;column_22;column_23;column_24;column_25;column_26;column_27;column_28
Lazy Daze Takes Over Cary’s Town Hall Campus for Two Days | News Releases | Town of Cary;http://www.townofcary.org/Home/Components/News/News/13448/715;"""Yes";"I found what I was looking for. Thanks!""";5;8/24/2017 12:53;Other Comments;;;;;;;;;;;;;;;;;;;;;
Permitted Uses & Setbacks | Town of Cary;http://www.townofcary.org/business-development/developing-in-cary/development-guidelines/permitted-uses-setbacks;Can you share a list of permitted uses in GCCU zoning? Is a car lot allowed? Thank you.;3;8/3/2017 12:56;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Youth Sports | Town of Cary;http://www.townofcary.org/recreation-enjoyment/sports/youth-sports;Do people get paid for being a score keeper at games?;3;7/28/2017 21:59;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Pro Shop | Town of Cary;http://www.townofcary.org/recreation-enjoyment/facilities/cary-tennis-park/pro-shop;hours??;2;7/30/2017 23:06;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Events | Town of Cary;http://www.townofcary.org/recreation-enjoyment/events;I'm not going at bus;2;8/9/2017 17:59;Other Comments;;;;;;;;;;;;;;;;;;;;;;
"""Garbage";"Recycling & Yard Waste | Town of Cary""";http://www.townofcary.org/services-publications/garbage-recycling-yard-waste;;4;8/14/2017 12:39;;;;;;;;;;;;;;;;;;;;;;
Mainstage Series Tickets | Town of Cary;http://www.townofcary.org/recreation-enjoyment/events/concerts/marvelous-music/mainstage-series/ticket-information;;5;7/28/2017 11:07;;;;;;;;;;;;;;;;;;;;;;;
Fixed Route Service | Town of Cary;http://www.townofcary.org/services-publications/transit/gocary/fixed-route-service;;3;8/15/2017 14:42;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org/;"""Rendering on Chrome browser working";the social media links;etc at the bottom are visible and the menu across the top is work as expected now. Previously;"the links at the bottom were mangled and the menu across the top was not rendering correctly.""";4;6/12/2017 10:07;Content/Function Requests;;;;;;;;;;;;;;;;;;;
Northwest Cary Parkway Resurfacing & Rehabilitation | Town of Cary;http://www.townofcary.org/projects-initiatives/project-updates/northwest-cary-parkway-resurfacing-rehabilitation-project;So I'm hoping this will be done at night considering there are no alternate routes from that stretch and wrapping all the way around to get back to I-40 on Harrison will be impossible and completely inconvenient. Hope you guys thought this through before screwing us once again.;1;6/7/2017 11:09;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Building Permits Online | Town of Cary;http://www.townofcary.org/services-publications/residential-permits-inspections/building-permits-online;"""I was unable to schedule an inspection online";"though the website says I can do so. The database is not updated to reflect my approved permit.""";1;6/15/2017 20:38;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org/;"""Rendering on Chrome (version 58) is broken";"links below the GIANT circle are mangled and useless.""";1;6/10/2017 11:04;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
Interactive Development Map | Town of Cary;http://www.townofcary.org/projects-initiatives/maps/interactive-development-map;Would be helpful to have link from here to details of each site indicated when you touched site.;4;6/16/2017 7:20;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org/;Looking for the sign-up for news/alerts it used to be a green envelop on the home page;2;6/8/2017 10:12;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Programs & Classes | Town of Cary;http://www.townofcary.org/recreation-enjoyment/programs-classes;Still looking.  Thank you.;4;6/14/2017 10:03;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Meeting Calendar | Town of Cary;http://www.townofcary.org/mayor-council/meeting-calendar;N;3;6/9/2017 14:27;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Time to Splash as Sprayground Opens at Cary’s Jack Smith Park | News Releases | Town of Cary;http://www.townofcary.org/Home/Components/News/News/13148/715;;5;6/19/2017 13:05;;;;;;;;;;;;;;;;;;;;;;;
DigiPay | Town of Cary;http://www.townofcary.org/services-publications/make-a-payment/digipay;;1;6/20/2017 9:44;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Utility Customer Service;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service;"""It appears that there are two meanings for the same term """"Account"""".  Water bill account and online login account!  Once I am logged in DigiPay and Aquastar";the system does not provide me a way to view the settings  for the login account.  It only shows the information pertaining to the water bill information.  When DigiPay and Aquastar is designed and developed;"did anyone try to use the system from a customer's perspective?  """;1;2/8/2017 9:34;Content/Function Requests;;;;;;;;;;;;;;;;;;;;
Town of Cary : Projects & Initiatives;http://www.townofcary.org/projects-initiatives;"""I think sustainability is a service";and that is where I looked for it. Perhaps it could be an Initiative;"but definitely not recreation.""";2;2/7/2017 20:10;Content/Function Requests;;;;;;;;;;;;;;;;;;;;
Town of Cary : FAQ;http://www.townofcary.org/connect-engage/town-departments-offices/planning-department/faq;"""On the FAQ page....might be helpful to create a separate page that consolidates all of the links imbedded in the text explanations and put a link  on the main PD page to this list....maybe call it """"quick links"""" or """"Frequently used Planning Links""""""";2;2/9/2017 17:27;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Sk8-Cary;http://www.townofcary.org/recreation-enjoyment/facilities/sk8-cary;Could not find the regular schedule for sessions;2;2/21/2017 18:02;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org/;Search engine does not appear to work and site is not very friendly.;1;2/20/2017 18:47;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Course Outline;http://www.townofcary.org/connect-engage/volunteer/volunteer-opportunities-in-governance/school-of-government/course-outline;;5;2/8/2017 14:16;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Bond Park Community Center;http://www.townofcary.org/recreation-enjoyment/facilities/bond-park-community-center;;1;2/11/2017 16:51;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Hometown Spirit Award;http://www.townofcary.org/mayor-council/hometown-spirit-award;;4;2/21/2017 18:49;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : DigiPay;http://www.townofcary.org/services-publications/make-a-payment/digipay;;1;2/7/2017 19:47;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : FAQ;http://www.townofcary.org/services-publications/make-a-payment/faq;;5;2/16/2017 16:53;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Animal Control;http://www.townofcary.org/services-publications/police/services-bureau/animal-control;"""I would like to report a tethering case of a neighbor's small pup that lives behind me but wish to remain anonymous. I have witnessed this small sweet white poodle mix tied to a post in their (fenced in) backyard for MANY hours each day. Then";around dusk they shut her in their outdoor utility closet until the next day...sometimes early afternoon.from what I can see;"she does seem to have a water bowl but not sure she can reach it at all times. Please check on her...Im not sure of the address but I live on Williams street in Cary and they live behind me the next street over. It is a brown one level duplex and they live in the right hand side of it. """;5;3/3/2017 12:35;Service Requests/Inquiries;;;;;;;;;;;;;;;;;;;;
Town of Cary : Jobs & Employees;http://www.townofcary.org/connect-engage/jobs-employees;Why is everything on the main portion of this page exactly the same as the side menu? Seems like a wasted opportunity.;2;2/24/2017 15:39;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Covered Courts;http://www.townofcary.org/recreation-enjoyment/facilities/cary-tennis-park/covered-courts;When will the 7 courts be completed?;2;2/25/2017 16:31;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Cary Arts Center;http://www.townofcary.org/recreation-enjoyment/facilities/cary-arts-center;Could you move this purple box?;4;3/1/2017 14:21;Look/Feel;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org/home;test1001 by neil;3;2/27/2017 4:34;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Residential Inspections & Permits;http://www.townofcary.org/services-publications/residential-permits-inspections;;2;3/2/2017 19:31;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Discover Our Camps;http://www.townofcary.org/recreation-enjoyment/facilities/cary-tennis-park/tennis-camps;;1;2/27/2017 14:19;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : FAQ;http://www.townofcary.org/services-publications/residential-permits-inspections/faq;;5;3/7/2017 18:13;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Senior Center;http://www.townofcary.org/recreation-enjoyment/facilities/senior-center;;3;3/2/2017 14:07;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : GoCary;http://www.townofcary.org/services-publications/transit/gocary;;3;3/8/2017 14:35;;;;;;;;;;;;;;;;;;;;;;;
Discover Our Camps | Town of Cary;http://www.townofcary.org/recreation-enjoyment/programs-classes/camp-information-track-out-summer-and-school-s-out/discover-our-camps;"""Looking for September camps. I see registration is in early August";"but can't find what camps are available for T2 September 5-8.""";3;7/18/2017 9:17;;;;;;;;;;;;;;;;;;;;;;
Instructions | Town of Cary;http://www.townofcary.org/services-publications/residential-permits-inspections/building-permits-online/instructions;Won't let me get into the permits to fill out.;1;7/26/2017 17:04;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Recycling | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/recycling;"""Recycle was not collected on Tuesday for Wade Green Place";"Cary. """;1;7/19/2017 18:01;;;;;;;;;;;;;;;;;;;;;;
Recycling | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/recycling;how do I dispose of paint cans?;3;7/20/2017 16:33;;;;;;;;;;;;;;;;;;;;;;;
Citizen's Convenience Center | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/citizen-s-convenience-center;;1;7/24/2017 22:10;;;;;;;;;;;;;;;;;;;;;;;
Fred G. Bond Metro Park | Town of Cary;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/fred-g-bond-metro-park;;5;7/16/2017 21:23;;;;;;;;;;;;;;;;;;;;;;;
Traffic Safety Team | Town of Cary;http://www.townofcary.org/services-publications/police/services-bureau/traffic-safety-team;;1;7/10/2017 13:17;;;;;;;;;;;;;;;;;;;;;;;
Garbage Collection | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/garbage-collection;;4;7/20/2017 15:29;;;;;;;;;;;;;;;;;;;;;;;
Calendar | Town of Cary;http://www.townofcary.org/connect-engage/calendar/-curm-7/-cury-2017;;5;7/26/2017 21:05;;;;;;;;;;;;;;;;;;;;;;;
All Services | Town of Cary;http://www.townofcary.org/services-publications/all-services;;5;7/11/2017 7:25;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Building Permits Online;http://www.townofcary.org/services-publications/residential-permits-inspections/building-permits-online;where do I go to pay for a permit online?;3;4/5/2017 10:29;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Walnut Street Park;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/walnut-street-park;Can't reserve picnic shelter for walnut park;1;4/1/2017 16:11;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Getting Started;http://www.townofcary.org/services-publications/water-sewer/water/aquastar/how-to-use-aquastar/getting-started;Hi;5;3/30/2017 13:56;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Frequently Asked Questions;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/stevens-nature-center-at-hemlock-bluffs-nature-preserve/frequently-asked-questions;;4;4/1/2017 11:16;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Bond Park Challenge Course;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/fred-g-bond-metro-park/challenge-ropes-course;;5;4/2/2017 12:26;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Standard Detail Drawings;http://www.townofcary.org/business-development/developing-in-cary/standard-detail-drawings-2017;;4;3/31/2017 11:31;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Cary Road Race;http://www.townofcary.org/recreation-enjoyment/sports/sports-events-and-tournaments/cary-road-race;;5;3/24/2017 6:29;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Calendar;http://www.townofcary.org/connect-engage/calendar/-selcat-46/-seldept-undefined/-seltag-;;1;4/7/2017 9:39;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Recycling;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/recycling;;1;4/10/2017 17:30;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Police;http://www.townofcary.org/services-publications/police;;5;4/6/2017 9:26;;;;;;;;;;;;;;;;;;;;;;;
All Things Development | Town of Cary;http://www.townofcary.org/business-development/developing-in-cary;where kind I find information about what's being built on TenTEn and West Lake rd;3;5/31/2017 16:41;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Citizen's Convenience Center | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/citizen-s-convenience-center;Does it cost extra to bring bulk items?;3;5/25/2017 17:03;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
School's Out Camp Guide | Town of Cary;http://www.townofcary.org/recreation-enjoyment/programs-classes/school-s-out-camp-guide;you dont show were we need to mail our forms;3;5/19/2017 16:53;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Jobs & Employees | Town of Cary;http://www.townofcary.org/connect-engage/jobs-employees;Why do we have the 2010 and 2011 Turnover Report and not 2012 - 2016?;5;6/5/2017 20:53;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
GoCary | Town of Cary;http://www.townofcary.org/services-publications/transit/gocary;What time the bus run today;2;5/29/2017 8:23;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Operation Medicine Drop | Town of Cary;http://www.townofcary.org/services-publications/police/community-services/operation-medicine-drop;;5;5/19/2017 13:56;;;;;;;;;;;;;;;;;;;;;;;
Interactive Development Map | Town of Cary;http://www.townofcary.org/projects-initiatives/maps/interactive-development-map;;2;5/18/2017 16:28;;;;;;;;;;;;;;;;;;;;;;;
Park After Dark | Town of Cary;http://www.townofcary.org/recreation-enjoyment/events/special-events/park-after-dark;;5;6/1/2017 11:42;;;;;;;;;;;;;;;;;;;;;;;
Commercial Projects | Town of Cary;http://www.townofcary.org/business-development/commercial-projects;;2;5/30/2017 14:14;;;;;;;;;;;;;;;;;;;;;;;
Programs & Classes | Town of Cary;http://www.townofcary.org/recreation-enjoyment/programs-classes;;5;6/5/2017 19:07;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Discover Our Camps;http://www.townofcary.org/recreation-enjoyment/programs-classes/camp-information-track-out-summer-and-school-s-out/discover-our-camps;where is the volunteer information;1;4/12/2017 18:34;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Contact the Town | Town of Cary;http://www.townofcary.org/connect-engage/get-help;I can't find the privacy statement.;1;5/16/2017 11:56;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Wheels on Academy | Town of Cary;http://www.townofcary.org/recreation-enjoyment/events/special-events/wheels-on-academy;No!;1;5/11/2017 18:41;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Land Development Ordinance;http://www.townofcary.org/services-publications/residential-permits-inspections/development-regulations/land-development-ordinance;;1;4/20/2017 15:09;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Getting Here and Parking;http://www.townofcary.org/recreation-enjoyment/facilities/cary-arts-center/plan-your-visit/getting-here-and-parking;;3;4/17/2017 15:05;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Quasi-Judicial Hearing Procedural Guidelines;http://www.townofcary.org/mayor-council/town-policies/quasi-judicial-hearing-procedural-guidelines;;4;4/20/2017 8:51;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : North Cary Park;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/north-cary-park;;2;4/21/2017 16:34;;;;;;;;;;;;;;;;;;;;;;;
Finance Policy (Town of Cary) | Town of Cary;http://www.townofcary.org/mayor-council/town-policies/finance-policy-town-of-cary;;5;5/16/2017 11:21;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Door to Door Service;http://www.townofcary.org/services-publications/transit/gocary/door-to-door-service;;1;4/17/2017 7:20;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org/;;5;4/19/2017 13:32;;;;;;;;;;;;;;;;;;;;;;;
Electric Vehicle Charging Stations | Town of Cary;http://www.townofcary.org/projects-initiatives/sustainability/electric-vehicle-charging-stations;I am trying to find out how to get the card required for using the charging stations at the Cary Arts Center;1;6/25/2017 12:16;Service Requests/Inquiries;;;;;;;;;;;;;;;;;;;;;;
Curbside Recycling | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/recycling/curbside-recycling;Does the recycled paper get shredded?;3;6/27/2017 12:31;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
FAQ | Town of Cary;http://www.townofcary.org/services-publications/make-a-payment/faq;how to switch my service to another house.can i do that online;4;7/3/2017 13:47;Service Requests/Inquiries;;;;;;;;;;;;;;;;;;;;;;
Projects & Initiatives | Town of Cary;http://www.townofcary.org/projects-initiatives;You need  better contact info for individuals;3;6/20/2017 9:51;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary's July 4th Celebration | Calendar | Town of Cary;http://www.townofcary.org/Home/Components/Calendar/Event/2317/1636?curm=7&cury=2017;;5;7/4/2017 10:04;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary's July 4th Celebration | Calendar | Town of Cary;http://www.townofcary.org/Home/Components/Calendar/Event/2317/1636?curm=7&cury=2017;;5;7/4/2017 16:34;;;;;;;;;;;;;;;;;;;;;;;
FAQs | Town of Cary;http://www.townofcary.org/recreation-enjoyment/programs-classes/camp-information-track-out-summer-and-school-s-out/faqs;;4;7/9/2017 20:12;;;;;;;;;;;;;;;;;;;;;;;
Independence Day Events | Town of Cary;http://www.townofcary.org/recreation-enjoyment/events/holiday-events/independence-day-events;;5;7/3/2017 21:54;;;;;;;;;;;;;;;;;;;;;;;
Fixed Route Service | Town of Cary;http://www.townofcary.org/services-publications/transit/gocary/fixed-route-service;;3;6/24/2017 19:14;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org/;;1;7/4/2017 22:57;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org;"""Dear mayor";I just heard on the news that Amazon is searching sites for their new North American headquarters 2. They intend to hire 50;"000 employees. I hope we are looking into this! Cary is a wonderful place to live and work! I think they would love it here! Good luck! Richard Poduch""";5;9/7/2017 12:23;Other Comments;;;;;;;;;;;;;;;;;;;;
Programs & Classes | Town of Cary;http://www.townofcary.org/recreation-enjoyment/programs-classes;My receipt for the beginners drawing class says to check web site for supply list needed for first class but I have extensively searched the site and can not find anywhere for a supply list. Your facility is closed today and the class is tomorrow so I'm not going to be able to get needed supplies. I'm hoping my first class isn't a waste because I don't have needed supplies. ToC needs to fix this issue!!!;1;9/4/2017 11:48;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
"""Garbage";"Recycling & Yard Waste | Town of Cary""";http://www.townofcary.org/services-publications/garbage-recycling-yard-waste;I would like to schedule pick up of an oversized children's play car at [REDACTED].  Could you please send an email confirmation when (this Tuesday September 12?) we can do this to [REDACTED]?  Thank you!;5;9/10/2017 9:50;Service Requests/Inquiries;;;;;;;;;;;;;;;;;;;;;
Online Utility Payment | Town of Cary;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service/utility-payment-options/online-utility-payment;Hello my name is Bethelehem Girmai at [REDACTED] Cary we called the other day since the garbage was not picked up and yesterday no one took it still;2;9/1/2017 13:13;Service Requests/Inquiries;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org/;Please Develop A App for smartphones please.   Resident of Cary;4;9/17/2017 13:31;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Events | Town of Cary;http://www.townofcary.org/recreation-enjoyment/events;thanks;4;9/20/2017 19:30;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Adopted Budget for Fiscal Year 2017 | Town of Cary;http://www.townofcary.org/services-publications/plans-publications-reports/budget/adopted-budget-for-fiscal-year-2017;;1;9/6/2017 17:56;;;;;;;;;;;;;;;;;;;;;;;
Lazy Daze Arts and Crafts Festival | Town of Cary;http://www.townofcary.org/recreation-enjoyment/events/festivals/lazy-daze-arts-and-crafts-festival;;4;8/26/2017 15:23;;;;;;;;;;;;;;;;;;;;;;;
Cast List | Town of Cary;http://www.townofcary.org/recreation-enjoyment/arts-culture/youth-theater/upcoming-productions/cast-list;;5;9/8/2017 20:59;;;;;;;;;;;;;;;;;;;;;;;
Utility Customer Service | Town of Cary;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service;;5;9/16/2017 7:18;;;;;;;;;;;;;;;;;;;;;;;
Loose Leaf Collection | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/yard-waste/loose-leaf-collection;"""No.  The Loose Leaf collection map is informative as to zone color";number;and status;as it relates to street address. However;"I was unable to discern the actual collection dates associated with the collection zones from anywhere within the Loose Leaf Collection pages.  Perhaps a table containing the zone pickup schedule would be helpful.""";1;11/3/2017 6:55;Content/Function Requests;;;;;;;;;;;;;;;;;;
"""Garbage";"Recycling & Yard Waste | Town of Cary""";http://www.townofcary.org/services-publications/garbage-recycling-yard-waste;"""My trash   collection is moving from Friday to Monday next week. Will I still have pickup this Friday and next Monday";"or just next Monday?""";3;10/29/2017 8:07;Content/Function Requests;;;;;;;;;;;;;;;;;;;;
Marla Dorrel Park | Town of Cary;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/marla-dorrel-park;Where can I find information about if I can do workout classes at the park?  I am working with Omega Chiropractic in Cary and we would like to start holding classes for his clients and others at the local park.  Thank you for any help.;3;10/29/2017 14:13;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Calendar of Events | Town of Cary;http://www.townofcary.org/recreation-enjoyment/facilities/cary-arts-center/calendar-of-events/-curm-5/-cury-2018;Do you know when the Applause play will be in the spring of 2018?;3;10/11/2017 15:06;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Park Hours and Rules | Town of Cary;http://www.townofcary.org/recreation-enjoyment/facilities/wakemed-soccer-park/park-hours-and-rules;Are we allowed to take diaper bags?;3;10/17/2017 21:35;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Cary Dog Parks | Town of Cary;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/cary-dog-parks;Trying to find how many acres each park is.;5;10/29/2017 17:35;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Programs & Classes | Town of Cary;http://www.townofcary.org/recreation-enjoyment/programs-classes;how do you search for a program by number now?;2;10/13/2017 14:25;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
"""Garbage";"Recycling & Yard Waste | Town of Cary""";http://www.townofcary.org/services-publications/garbage-recycling-yard-waste;;1;10/10/2017 16:49;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/garbage-collection;"""Our recycling did not get picked up yesterday. We live on Piney Plains Rd. in Cary";"NC""";2;2/2/2018 8:25;Service Requests;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service;The docusign form did not work correctly. I couldn't enter a separate mailing address or add my spouse's info or get any confirmation that it was submitted. Not happy.;1;2/21/2018 11:18;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/sports/sports-events-and-tournaments/cary-road-race;Can you please add the course maps to the Cary Road Race page? Thank you!;4;2/1/2018 16:14;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/events/holiday-events/easter-events;events bunny easter;5;2/28/2018 7:50;Other Comments;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/residential-permits-inspections/who-s-my-inspector;;1;2/13/2018 7:16;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/business-development/developing-in-cary/standard-detail-drawings;;5;2/22/2018 14:23;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/facilities/cary-tennis-park;;1;2/5/2018 10:02;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/facilities/senior-center;;4;2/23/2018 8:59;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/;;2;2/16/2018 7:06;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Police;http://www.townofcary.org/services-publications/police;"""This isnt relative to the website";but rather feedback on an engagement I had with one of your officers today. He pulled me over and let me off with a warning. However;during our conversation;"he asked me why I """"assumed he (the officer) would only have bad news"""". Considering the current national dialogue (by some) focusing on police engagement with the public";I thought the officer's kind challenge to question my own perspective was a good one. This officer did a great job of reminding me that not everything out of a Police officer's mouth is going to be bad news. I appreciated this. I dont remember his name;but he was on Maynard across from Cary High School;adjacent to the water tower;"at approximately 930 am. Please forward this to whomever necessary""";5;2017-02-01 14:33:00+00:00;Other Comments;;;;;;;;;;;;;;;
Town of Cary : Police;http://www.townofcary.org/services-publications/police;"""Remove the word """"that"""" from the Police mission statement!""";5;1/26/2017 10:39;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : About the Site;http://www.townofcary.org/connect-engage/town-departments-offices/town-manager-s-office/public-information/about-the-site;;5;1/27/2017 18:07;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org;;5;1/29/2017 15:47;;;;;;;;;;;;;;;;;;;;;;;
Water Rates and Utility Fees | Town of Cary;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service/utility-payment-options/utility-rates-and-fees;"""I received a redirect notice when going to this page - I was told I was leaving the townofcary.org domain";yet;"I didn't.""";1;6/7/2017 21:01;Other Comments;;;;;;;;;;;;;;;;;;;;
Southbridge Greenway | Town of Cary;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/greenways/southbridge-greenway;Can you tell me where there's a retaining wall on this Greenway and where it's located on the path? Somebody abandoned a pet snake throwing it off a retaining wall and put a video on Youtube. Need to save its life as it cannot survive out there. It is an African species. Time is of the essence.;3;6/7/2017 14:52;Service Requests/Inquiries;;;;;;;;;;;;;;;;;;;;;;
North Cary Park | Town of Cary;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/north-cary-park;"""Great site... but would love more actual information . For example- how to reserve courts";"and even better would be information about the trails. A map with distances of trails would be so useful!""";3;6/7/2017 18:12;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
Animal Control | Town of Cary;http://www.townofcary.org/services-publications/police/services-bureau/animal-control;Your Leash Law Brochure document 1669 will not appear when I try to select it for viewing. The others work fine. Please fix this problem.;1;6/9/2017 11:26;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Domestic Beekeeping FAQ | Town of Cary;http://www.townofcary.org/connect-engage/town-departments-offices/planning-department/faq/domestic-beekeeping-faq;"""Second to last use of """"ordinance"""" needs an O.""";3;6/13/2017 22:55;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Transportation & Facilities | Town of Cary;http://www.townofcary.org/connect-engage/town-departments-offices/transportation-facilities;no;1;6/16/2017 15:04;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Reedy Creek Road Widening Project | Town of Cary;http://www.townofcary.org/projects-initiatives/project-updates/street-projects/reedy-creek-road-widening-project;;4;6/18/2017 15:53;;;;;;;;;;;;;;;;;;;;;;;
