OBJECTID,COMPLEX_NAME,ORGANIZATION_NAME,UNIT_NAME,UNIT_TYPE,INTEREST_TYPE1,INTEREST_TYPE2,ACRES,SHAPE.AREA,SHAPE.LEN
4772,ARROWWOOD COMPLEX,CHASE LAKE NATIONAL WILDLIFE REFUGE,Chase Lake National Wildlife Refuge,NWR,Owned, ,4354.17662608,0.00208429734415723,0.22179767805175896
4773,LONG LAKE WMD,FLORENCE LAKE NATIONAL WILDLIFE REFUGE,Florence Lake National Wildlife Refuge,NWR,Owned, ,1459.92815951,0.000702659338686708,0.21828524054806892
4773,LONG LAKE WMD,FLORENCE LAKE NATIONAL WILDLIFE REFUGE,Florence Lake National Wildlife Refuge,NWR,Owned, ,1459.92815951,0.000702659338686708,0.21828524054806892
4774,AUDUBON COMPLEX,GARRISON DAM NATIONAL FISH HATCHERY,Garrison Dam National Fish Hatchery,NFH,Owned, ,182.45484091,8.812393879166e-05,0.0627464130972326
4774,AUDUBON COMPLEX,GARRISON DAM NATIONAL FISH HATCHERY,Garrison Dam National Fish Hatchery,NFH,Owned, ,182.45484091,8.812393879166e-05,0.0627464130972326
4775,ARROWWOOD COMPLEX,HOBART LAKE NATIONAL WILDLIFE REFUGE,Hobart Lake National Wildlife Refuge,NWR,Owned, ,233.33377997,0.00011153491203371001,0.042160980252585
4775,ARROWWOOD COMPLEX,HOBART LAKE NATIONAL WILDLIFE REFUGE,Hobart Lake National Wildlife Refuge,NWR,Owned, ,233.33377997,0.00011153491203371001,0.042160980252585
4776,ARROWWOOD COMPLEX,HOBART LAKE NATIONAL WILDLIFE REFUGE,Hobart Lake National Wildlife Refuge,NWR,Owned, ,5.69084062,2.7199075883259997e-06,0.0100665035174325
4776,ARROWWOOD COMPLEX,HOBART LAKE NATIONAL WILDLIFE REFUGE,Hobart Lake National Wildlife Refuge,NWR,Owned, ,5.69084062,2.7199075883259997e-06,0.0100665035174325
4777,ARROWWOOD COMPLEX,HOBART LAKE NATIONAL WILDLIFE REFUGE,Hobart Lake National Wildlife Refuge,NWR,Owned, ,7.87612517,3.7640560375885e-06,0.0090486585138988
4777,ARROWWOOD COMPLEX,HOBART LAKE NATIONAL WILDLIFE REFUGE,Hobart Lake National Wildlife Refuge,NWR,Owned, ,7.87612517,3.7640560375885e-06,0.0090486585138988
4778,DEVILS LAKE WMD,KELLYS SLOUGH NATIONAL WILDLIFE REFUGE,Kellys Slough National Wildlife Refuge,NWR,Owned, ,691.16284258,0.000336899788491292,0.16117915259392598
4778,DEVILS LAKE WMD,KELLYS SLOUGH NATIONAL WILDLIFE REFUGE,Kellys Slough National Wildlife Refuge,NWR,Owned, ,691.16284258,0.000336899788491292,0.16117915259392598
4779,LONG LAKE WMD,LAKE GEORGE NATIONAL WILDLIFE REFUGE,Lake George National Wildlife Refuge,NWR,Owned, ,10.90694521,5.1935950346839995e-06,0.0112047095716863
4779,LONG LAKE WMD,LAKE GEORGE NATIONAL WILDLIFE REFUGE,Lake George National Wildlife Refuge,NWR,Owned, ,10.90694521,5.1935950346839995e-06,0.0112047095716863
4780,LONG LAKE WMD,LAKE GEORGE NATIONAL WILDLIFE REFUGE,Lake George National Wildlife Refuge,NWR,Owned, ,5.16153523,2.4579186020915e-06,0.00730137391253395
4780,LONG LAKE WMD,LAKE GEORGE NATIONAL WILDLIFE REFUGE,Lake George National Wildlife Refuge,NWR,Owned, ,5.16153523,2.4579186020915e-06,0.00730137391253395
4781,LONG LAKE WMD,LAKE GEORGE NATIONAL WILDLIFE REFUGE,Lake George National Wildlife Refuge,NWR,Owned, ,15.72831428,7.4937589051304994e-06,0.0139788634456409
4781,LONG LAKE WMD,LAKE GEORGE NATIONAL WILDLIFE REFUGE,Lake George National Wildlife Refuge,NWR,Owned, ,15.72831428,7.4937589051304994e-06,0.0139788634456409
4782,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,163.68475305,7.88712504850625e-05,0.0361405090565017
4782,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,163.68475305,7.88712504850625e-05,0.0361405090565017
4783,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,9.29671904,4.4793312106129986e-06,0.0387542813958145
4783,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,9.29671904,4.4793312106129986e-06,0.0387542813958145
4784,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,119.37741571,5.75138613905885e-05,0.0319445332710308
4784,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,119.37741571,5.75138613905885e-05,0.0319445332710308
4785,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,101.82337307,4.9057655108388504e-05,0.0309542060136515
4785,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,101.82337307,4.9057655108388504e-05,0.0309542060136515
4786,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,3.59521188,1.7322377925405e-06,0.0218342899153313
4786,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,3.59521188,1.7322377925405e-06,0.0218342899153313
4787,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,2.96866755,1.430357197968e-06,0.0214624670104522
4787,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,2.96866755,1.430357197968e-06,0.0214624670104522
4788,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,331.95633339,0.00015991906195849298,0.0627865809250671
4788,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,331.95633339,0.00015991906195849298,0.0627865809250671
4789,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,185.3968598,8.931153038888499e-05,0.0392655814690659
4789,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,185.3968598,8.931153038888499e-05,0.0392655814690659
4790,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,40.67391866,1.9595261307854506e-05,0.0180075697202724
4790,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,40.67391866,1.9595261307854506e-05,0.0180075697202724
4791,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,9.74477616,4.6946302494400004e-06,0.00872872399032787
4791,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,9.74477616,4.6946302494400004e-06,0.00872872399032787
4792,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.835831,4.02667927429e-07,0.00426123400165253
4792,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.835831,4.02667927429e-07,0.00426123400165253
4793,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,1.55999953,7.51544170021e-07,0.00462350998870531
4793,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,1.55999953,7.51544170021e-07,0.00462350998870531
4794,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.76109055,3.666616664445e-07,0.00422159977780457
4794,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.76109055,3.666616664445e-07,0.00422159977780457
4795,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,4.78279733,2.304151723784e-06,0.00623896701327152
4795,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,4.78279733,2.304151723784e-06,0.00623896701327152
4796,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,1.61196285,7.765788978035e-07,0.0046438181553415
4796,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,1.61196285,7.765788978035e-07,0.0046438181553415
4797,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,1.05927221,5.103129563625e-07,0.00436747974372967
4797,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,1.05927221,5.103129563625e-07,0.00436747974372967
4798,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,2.40187375,1.1571224295385e-06,0.0050450116775033
4798,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,2.40187375,1.1571224295385e-06,0.0050450116775033
4799,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.7720884,3.719606276085e-07,0.0042325086038865
4799,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.7720884,3.719606276085e-07,0.0042325086038865
4800,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.504416,2.43008935308e-07,0.0029264944337653
4800,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.504416,2.43008935308e-07,0.0029264944337653
4801,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,1.05532435,5.084136343685001e-07,0.00334365569650773
4801,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,1.05532435,5.084136343685001e-07,0.00334365569650773
4802,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,6.95151704,3.348955799684e-06,0.0076637890804255706
4802,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,6.95151704,3.348955799684e-06,0.0076637890804255706
4803,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,9.78454818,4.7137874745135e-06,0.0088745814896454
4803,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,9.78454818,4.7137874745135e-06,0.0088745814896454
4804,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.21425561,1.03218667173e-07,0.0015514867755922301
4804,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.21425561,1.03218667173e-07,0.0015514867755922301
4805,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.16785992,8.0867032741e-08,0.0012889966977202099
4805,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.16785992,8.0867032741e-08,0.0012889966977202099
4806,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.20287848,9.773775933600001e-08,0.0013625533883058199
4806,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.20287848,9.773775933600001e-08,0.0013625533883058199
4807,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.19768003,9.5233075837e-08,0.0013545476994052301
4807,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.19768003,9.5233075837e-08,0.0013545476994052301
4808,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.20043319,9.655952860900001e-08,0.0015308780829126401
4808,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.20043319,9.655952860900001e-08,0.0015308780829126401
4809,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.19980104,9.6254929844e-08,0.00153113305693113
4809,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.19980104,9.6254929844e-08,0.00153113305693113
4810,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,268.07553526,0.000129138302120339,0.0604103688081328
4810,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,268.07553526,0.000129138302120339,0.0604103688081328
4811,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.27773498,1.337988676825e-07,0.00170992071598236
4811,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.27773498,1.337988676825e-07,0.00170992071598236
4812,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.09441369,4.5483691431e-08,0.00112220181678061
4812,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.09441369,4.5483691431e-08,0.00112220181678061
4813,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.11560183,5.56908544175e-08,0.0009722461422134881
4813,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.11560183,5.56908544175e-08,0.0009722461422134881
4814,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.33440189,1.610969879085e-07,0.00164743345030368
4814,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.33440189,1.610969879085e-07,0.00164743345030368
4815,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.2239729,1.07898778331e-07,0.00152282865129773
4815,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.2239729,1.07898778331e-07,0.00152282865129773
4816,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.14395799,6.9351843868e-08,0.0011133681686384099
4816,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,0.14395799,6.9351843868e-08,0.0011133681686384099
4817,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,2.39805016,1.155261974074e-06,0.00526888973440231
4817,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,2.39805016,1.155261974074e-06,0.00526888973440231
4818,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,137.26535685,6.6123701542321e-05,0.0436595227180864
4818,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,137.26535685,6.6123701542321e-05,0.0436595227180864
4819,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,617.05915785,0.000297224036821483,0.0918397708261123
4819,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,617.05915785,0.000297224036821483,0.0918397708261123
4820,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,2.80761363,1.352474699448e-06,0.00528666747557907
4820,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,2.80761363,1.352474699448e-06,0.00528666747557907
4821,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,35.97158073,1.73277045456145e-05,0.0206389835408424
4821,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,35.97158073,1.73277045456145e-05,0.0206389835408424
4822,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,122.22053882,5.8868163927664004e-05,0.0358194894800059
4822,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,122.22053882,5.8868163927664004e-05,0.0358194894800059
4823,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,4.47869342,2.156994962756e-06,0.030734627507595
4823,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,4.47869342,2.156994962756e-06,0.030734627507595
4824,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,159.23537967,7.66968108781935e-05,0.0355542461906132
4824,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,159.23537967,7.66968108781935e-05,0.0355542461906132
4825,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,164.38509888,7.91762811219325e-05,0.0362834754883753
4825,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,164.38509888,7.91762811219325e-05,0.0362834754883753
4826,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,162.45089925,7.8243051013573e-05,0.0432320660141911
4826,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,162.45089925,7.8243051013573e-05,0.0432320660141911
4827,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,26.50187225,1.27650005149755e-05,0.0195751202551745
4827,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,26.50187225,1.27650005149755e-05,0.0195751202551745
4828,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,160.28941096,7.7195232340451e-05,0.043023219500864
4828,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,160.28941096,7.7195232340451e-05,0.043023219500864
4829,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,158.76939312,7.646191937309351e-05,0.0355570379210747
4829,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,158.76939312,7.646191937309351e-05,0.0355570379210747
4830,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,211.01472284,0.000101626456106609,0.0867154034418893
4830,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,211.01472284,0.000101626456106609,0.0867154034418893
4831,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,102.9271813,4.95692955744555e-05,0.0604217807560293
4831,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,102.9271813,4.95692955744555e-05,0.0604217807560293
4832,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,4.52227224,2.1779929415895e-06,0.007499988962619659
4832,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,4.52227224,2.1779929415895e-06,0.007499988962619659
4833,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,157.92176365,7.6052913147292e-05,0.0355426777134807
4833,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,157.92176365,7.6052913147292e-05,0.0355426777134807
4834,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,3.58431754,1.726088887399e-06,0.00644686638527292
4834,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,3.58431754,1.726088887399e-06,0.00644686638527292
4835,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,2.36129215,1.137006587322e-06,0.0148861276592395
4835,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,2.36129215,1.137006587322e-06,0.0148861276592395
4836,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,162.4671063,7.82316551045125e-05,0.0361393604136375
4836,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,162.4671063,7.82316551045125e-05,0.0361393604136375
4837,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,142.76614085,6.8745155848247e-05,0.033385351081797
4837,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,142.76614085,6.8745155848247e-05,0.033385351081797
4838,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,83.29117108,4.01080322456465e-05,0.0288699107370573
4838,AUDUBON COMPLEX,LAKE ILO NATIONAL WILDLIFE REFUGE,Lake Ilo National Wildlife Refuge,NWR,Owned, ,83.29117108,4.01080322456465e-05,0.0288699107370573
